장비발생시간,출발지IP,목적지IP,목적지포트,공격명,request
2019-03-18 19:06,125.190.206.138,121.125.77.69,80,SQL Injection,POST /api/comment_ok.php HTTP/1.1
2019-03-18 19:06,125.190.206.138,121.125.77.69,80,SQL Injection,POST /write_new.php HTTP/1.1
2019-03-18 17:32,223.38.8.113,121.125.77.61,443,SQL Injection,POST / HTTP/1.1
2019-03-18 17:31,223.38.8.113,121.125.77.61,443,SQL Injection,POST /galltotal HTTP/1.1
2019-03-18 15:31,202.136.121.91,121.125.77.69,443,SQL Injection,POST /mcategory HTTP/1.1
2019-03-18 15:31,202.136.121.91,121.125.77.69,443,SQL Injection,POST /category HTTP/1.1
2019-03-18 15:31,202.136.121.91,121.125.77.69,443,SQL Injection,POST /jQuery-File-Upload/server/php/index.php HTTP/1.1
2019-03-18 15:31,202.136.121.91,121.125.77.69,443,SQL Injection,POST /jQuery-File-Upload/server/php/upload.php HTTP/1.1
2019-03-18 15:31,202.136.121.91,121.125.77.69,443,SQL Injection,POST /jQuery-File-Upload/server/php/upload.class.php HTTP/1.1
2019-03-18 15:31,202.136.121.91,121.125.77.69,443,SQL Injection,POST /jQuery-File-Upload/php/index.php HTTP/1.1
2019-03-18 15:31,202.136.121.91,121.125.77.69,443,SQL Injection,POST /jQuery-File-Upload/php/UploadHandler.php HTTP/1.1
2019-03-18 15:31,202.136.121.91,121.125.77.69,443,SQL Injection,POST /jQuery-File-Upload/php/upload.php HTTP/1.1
2019-03-18 15:31,202.136.121.91,121.125.77.69,443,SQL Injection,POST /jQuery-File-Upload/php/upload.class.php HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /jQuery-File-Upload/server/php/UploadHandler.php HTTP/1.1
2019-03-18 15:30,202.136.121.91,121.125.77.69,443,SQL Injection,POST /jquery-file-upload/server/php/upload.php HTTP/1.1
2019-03-18 15:30,202.136.121.91,121.125.77.69,443,SQL Injection,POST /server/php/UploadHandler.php HTTP/1.1
2019-03-18 15:30,202.136.121.91,121.125.77.69,443,SQL Injection,POST /mall HTTP/1.1
2019-03-18 15:30,202.136.121.91,121.125.77.69,443,SQL Injection,POST /server/php/upload.class.php HTTP/1.1
2019-03-18 15:30,202.136.121.91,121.125.77.69,443,SQL Injection,POST /server/php/index.php HTTP/1.1
2019-03-18 15:30,202.136.121.91,121.125.77.69,443,SQL Injection,POST /phpMoAdmin/moadmin.php HTTP/1.1
2019-03-18 15:30,202.136.121.91,121.125.77.69,443,SQL Injection,POST /phpunit/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /phpmoadmin/moadmin.php HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /moadmin/moadmin.php HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /jquery-file-upload/server/php/upload.class.php HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /server/php/upload.php HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /section/game HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /api/comment_del.php HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /ajax/comment-write HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /upimg_file.php?id=kancolle&r_key=1afd8c6c900ee231fa17e64127195e07 HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /upimg_file.php?id=kancolle HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /upimg_file.php?id=kancolle&r_key=1afd8c6c900ee231fa17e64127195e07 HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /upimg_file.php?id=kancolle&r_key=8d3eff7bd7e88847fad26b3f2b232b90 HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /api/_total_search.php HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /index.php?m=vod-search HTTP/1.1
2019-03-18 15:29,202.136.121.91,121.125.77.69,443,SQL Injection,POST /dapur/apps/app_theme/libs/save_file.php HTTP/1.1
